epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.803,3.53156,7.20937,4.26352,0,0,0,0,3.6394,6.02741,4.15995,0.0919,0.0009,0.0009
2,163.715,3.58183,6.58056,4.26884,0,0,0,0,3.66552,6.04023,4.15546,0.0828937,0.00189373,0.00189373
3,220.183,3.56635,6.08825,4.17043,0,0,0,0,3.75243,5.81702,4.13641,0.0738809,0.00288086,0.00288086
4,283.665,3.52187,5.57164,4.09644,0,0,0,0,3.86561,5.58583,4.10406,0.0648614,0.00386139,0.00386139
5,343.385,3.42741,5.2711,4.01496,0,0,0,0,3.9454,4.78727,4.06155,0.0558353,0.00483532,0.00483532
6,400.333,3.49699,4.93488,3.93549,0,0,0,0,3.97397,4.42903,4.00796,0.0468027,0.00580265,0.00580265
7,458.794,3.54841,4.82277,3.81933,0,0,0,0,3.97541,4.49614,3.94518,0.0377634,0.00676338,0.00676338
8,515.633,3.40705,4.35252,3.72046,0,0,0,0,3.95936,4.56375,3.87816,0.0287175,0.00771751,0.00771751
9,573.339,3.28579,4.12544,3.58012,0,0,0,0,3.94886,4.70148,3.96499,0.019665,0.00866504,0.00866504
10,631.293,3.07152,3.86321,3.33158,0,0,0,0,3.73841,5.04993,4.09515,0.010606,0.00960597,0.00960597
11,686.899,2.90921,3.67964,3.10898,0.33948,0.02778,0.00364,0.00119,3.12622,8.64203,4.33121,0.00967,0.00967,0.00967
12,740.573,2.76753,3.35751,2.93468,0.14943,0.13554,0.14526,0.05589,3.16585,64.6053,4.75407,0.009637,0.009637,0.009637
13,794.406,2.7215,3.08303,2.86901,0.33366,0.33135,0.17339,0.10388,3.13727,inf,4.64907,0.009604,0.009604,0.009604
14,849.124,2.72954,3.0987,2.85426,0.45311,0.39087,0.08102,0.03181,2.32371,inf,3.13168,0.009571,0.009571,0.009571
15,903.326,2.68885,2.80658,2.8334,0.46142,0.36706,0.08314,0.02643,2.32581,109.348,3.06339,0.009538,0.009538,0.009538
16,959.77,2.66814,2.84163,2.73573,0.39649,0.04982,0.03403,0.00879,2.54045,4.1335,2.71634,0.009505,0.009505,0.009505
17,1014.69,2.55277,2.5257,2.63137,0.41155,0.1131,0.06277,0.02011,2.58777,3.44816,2.71995,0.009472,0.009472,0.009472
18,1070.73,2.4888,2.37399,2.58642,0.09769,0.39683,0.12419,0.03858,2.68263,12.5011,3.08191,0.009439,0.009439,0.009439
19,1123.8,2.46185,2.20963,2.56509,0.40061,0.05556,0.01858,0.00289,4.57899,13.8572,4.68182,0.009406,0.009406,0.009406
20,1179.05,2.46638,2.25887,2.6033,0.16741,0.08333,0.08217,0.0288,3.74912,38.4005,4.7022,0.009373,0.009373,0.009373
21,1239.44,2.39779,2.09815,2.49417,0.02027,0.28373,0.02039,0.00454,3.03652,5.09821,3.28002,0.00934,0.00934,0.00934
22,1297.48,2.38263,2.06411,2.4589,0.19666,0.31349,0.19023,0.08297,2.49942,2.58537,2.59229,0.009307,0.009307,0.009307
23,1355.39,2.33777,1.99446,2.4664,0.59182,0.30757,0.24909,0.07756,2.44956,2.65246,2.59433,0.009274,0.009274,0.009274
24,1412.41,2.30798,1.91918,2.43826,0.33389,0.06944,0.00042,0.0001,3.65201,17.5059,3.6245,0.009241,0.009241,0.009241
25,1466.38,2.27133,1.86548,2.43077,0.53581,0.21627,0.1648,0.04529,2.82711,3.48994,3.13673,0.009208,0.009208,0.009208
26,1520.03,2.24757,1.80653,2.37594,0.40333,0.05357,0.0102,0.002,3.72316,6.78165,4.05981,0.009175,0.009175,0.009175
27,1573.18,2.25062,1.79248,2.36024,0.00027,0.15278,0.00023,4e-05,3.89934,12.0901,4.32946,0.009142,0.009142,0.009142
28,1626.12,2.21249,1.74191,2.31928,0.42694,0.15873,0.06468,0.01275,2.86361,3.6936,2.93585,0.009109,0.009109,0.009109
29,1679.43,2.21678,1.72385,2.25265,0.39559,0.24747,0.02225,0.0041,2.91027,6.3869,3.39978,0.009076,0.009076,0.009076
30,1733.03,2.11929,1.63196,2.23606,0.00381,0.31327,0.0043,0.00111,3.13528,4.1903,3.19278,0.009043,0.009043,0.009043
