epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.258,3.53724,7.37207,4.2747,0,0,0,0,3.63475,6.01889,4.15897,0.0919,0.0009,0.0009
2,139.091,3.55233,6.55518,4.24392,0,0,0,0,3.67075,6.04557,4.14907,0.0828937,0.00189373,0.00189373
3,204.376,3.54936,5.92508,4.16084,0,0,0,0,3.77911,5.74022,4.12263,0.0738809,0.00288086,0.00288086
4,272.654,3.49973,5.43738,4.07484,0,0,0,0,3.89441,4.94332,4.08206,0.0648614,0.00386139,0.00386139
5,333.907,3.39444,5.13223,3.99065,0,0,0,0,3.95777,4.70883,4.01792,0.0558353,0.00483532,0.00483532
6,397.639,3.47775,4.72048,3.87551,0,0,0,0,3.95368,4.47308,3.92614,0.0468027,0.00580265,0.00580265
7,461.663,3.39805,4.44872,3.70117,0,0,0,0,3.9209,4.59424,3.8517,0.0377634,0.00676338,0.00676338
8,523.678,3.16965,4.03248,3.53611,0,0,0,0,3.92306,4.80881,3.86012,0.0287175,0.00771751,0.00771751
9,583.602,2.93223,3.81309,3.34248,0,0,0,0,3.95876,4.83584,3.91416,0.019665,0.00866504,0.00866504
10,646.554,2.91987,3.6714,3.18325,0.0001,0.02778,5e-05,2e-05,3.79579,5.33338,3.83241,0.010606,0.00960597,0.00960597
11,708.626,2.85243,3.46959,3.03047,0.33549,0.02778,0.00275,0.00111,3.30718,16.0254,3.46112,0.00967,0.00967,0.00967
12,769.616,2.63193,3.16932,2.82211,0.04775,0.15079,0.01655,0.00793,3.0609,75.9843,3.23992,0.009637,0.009637,0.009637
13,833.092,2.57117,2.95645,2.79547,0.532,0.39087,0.10468,0.0387,2.5304,49.699,3.21502,0.009604,0.009604,0.009604
14,898.536,2.60248,2.92873,2.80508,0.00044,0.31944,0.0017,0.00052,3.67787,inf,5.52509,0.009571,0.009571,0.009571
15,961.325,2.50108,2.51052,2.6754,0.00028,0.27778,0.00033,0.0001,3.91717,inf,6.07548,0.009538,0.009538,0.009538
16,1022.69,2.49143,2.67914,2.62409,0.62012,0.21825,0.24784,0.11276,2.29843,3.30016,2.56029,0.009505,0.009505,0.009505
17,1090.95,2.44511,2.4761,2.54818,0.62012,0.21825,0.24784,0.11276,4.02613,7.30862,3.97218,0.009472,0.009472,0.009472
18,1156,2.33051,2.22309,2.48553,0.08343,0.02579,0.04467,0.02223,3.54626,5.93769,3.76707,0.009439,0.009439,0.009439
19,1218.13,2.2942,2.0594,2.46088,0.65565,0.4623,0.40706,0.1557,2.17931,39.5633,2.61296,0.009406,0.009406,0.009406
20,1280.15,2.25262,2.10909,2.44859,0.33346,0.11111,9e-05,1e-05,3.25834,135.149,3.64591,0.009373,0.009373,0.009373
21,1342.85,2.2589,2.00181,2.41463,0.62298,0.35913,0.34404,0.11003,2.29663,5.09045,2.86396,0.00934,0.00934,0.00934
22,1405.53,2.26317,2.03152,2.43551,0.0007,0.20437,0.00082,0.00017,3.519,4.58758,3.4513,0.009307,0.009307,0.009307
23,1467.32,2.16428,1.89954,2.40151,0.49076,0.0873,0.09678,0.04683,2.4536,10.9324,2.86213,0.009274,0.009274,0.009274
24,1529.33,2.19787,1.87129,2.38636,0.63533,0.27579,0.23089,0.09504,2.39824,3.46331,2.73047,0.009241,0.009241,0.009241
25,1591.7,2.19473,1.79403,2.38046,0.00024,0.01389,0.00013,1e-05,3.82339,5.64193,3.97697,0.009208,0.009208,0.009208
26,1656.15,2.18338,1.75916,2.31702,0.00441,0.19841,0.00587,0.00116,3.53369,5.53214,3.66488,0.009175,0.009175,0.009175
27,1718.6,2.16132,1.7897,2.32082,0.0005,0.21825,0.00108,0.00026,4.13155,9.25705,3.69155,0.009142,0.009142,0.009142
28,1781.45,2.11076,1.76066,2.24395,0.6254,0.1596,0.13588,0.03446,3.21731,3.06643,3.15393,0.009109,0.009109,0.009109
