epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4556,3.54216,7.38159,4.27597,0,0,0,0,3.63696,6.02141,4.15856,0.0919,0.0009,0.0009
2,137.593,3.54171,6.49778,4.23875,0,0,0,0,3.66754,6.04242,4.14958,0.0828937,0.00189373,0.00189373
3,200.917,3.56871,5.97873,4.1638,0,0,0,0,3.75934,5.81764,4.12621,0.0738809,0.00288086,0.00288086
4,254.079,3.50511,5.49157,4.07628,0,0,0,0,3.88642,4.94359,4.08409,0.0648614,0.00386139,0.00386139
5,306.98,3.3792,5.13781,3.9872,0,0,0,0,3.94608,4.72899,4.02318,0.0558353,0.00483532,0.00483532
6,359.817,3.47011,4.77294,3.91449,0,0,0,0,3.94661,4.4782,3.95498,0.0468027,0.00580265,0.00580265
7,412.583,3.48414,4.69905,3.77029,0,0,0,0,3.93148,4.55535,3.89253,0.0377634,0.00676338,0.00676338
8,465.301,3.28011,4.23672,3.65089,0,0,0,0,3.9182,4.68979,3.88443,0.0287175,0.00771751,0.00771751
9,519.538,3.0139,3.93435,3.41625,0,0,0,0,3.92072,4.7316,3.78512,0.019665,0.00866504,0.00866504
10,573.117,2.99263,3.74078,3.24538,7e-05,0.06944,4e-05,2e-05,3.18899,41.1328,3.10092,0.010606,0.00960597,0.00960597
11,626.463,2.86702,3.55313,3.01996,4e-05,0.04167,2e-05,1e-05,3.30247,30.1653,3.094,0.00967,0.00967,0.00967
12,679.409,2.7339,3.26499,2.85267,0.00012,0.02778,6e-05,3e-05,3.51744,14.9961,3.60195,0.009637,0.009637,0.009637
13,732.583,2.66965,2.98581,2.82033,0.00023,0.20833,0.00066,0.00012,3.75629,inf,4.47709,0.009604,0.009604,0.009604
14,785.864,2.66259,3.02258,2.81813,0.0001,0.09722,7e-05,2e-05,3.11411,inf,3.94296,0.009571,0.009571,0.009571
15,838.677,2.56543,2.73651,2.74797,0.0014,0.20833,0.0012,0.00029,3.55785,inf,4.30513,0.009538,0.009538,0.009538
16,891.623,2.56152,2.64777,2.6749,0.00082,0.09722,0.00065,0.00011,3.93603,71.8048,4.80777,0.009505,0.009505,0.009505
17,944.341,2.47695,2.47411,2.56376,0.44399,0.23611,0.10088,0.02867,2.48148,5.8804,2.86933,0.009472,0.009472,0.009472
18,997.113,2.38952,2.3348,2.53491,0.69962,0.08333,0.02161,0.00539,2.80373,13.8356,3.07291,0.009439,0.009439,0.009439
19,1049.85,2.36783,2.16567,2.50285,0.33364,0.04167,9e-05,1e-05,3.67755,27.6522,3.76754,0.009406,0.009406,0.009406
20,1102.62,2.34188,2.15913,2.48487,0.82394,0.11772,0.17381,0.07421,2.24394,5.68015,2.36251,0.009373,0.009373,0.009373
21,1155.38,2.36627,2.04401,2.46946,0.58998,0.40173,0.30628,0.07875,2.51844,3.16785,2.84807,0.00934,0.00934,0.00934
22,1208.08,2.28861,2.01448,2.44086,0.00476,0.28373,0.004,0.00113,3.23621,51.7289,3.26698,0.009307,0.009307,0.009307
23,1260.92,2.26505,1.8965,2.46118,0.33517,0.20833,0.00173,0.00031,3.74144,inf,3.89084,0.009274,0.009274,0.009274
24,1313.65,2.22284,1.80528,2.37566,0.33396,0.11111,0.00039,5e-05,4.30118,inf,4.45745,0.009241,0.009241,0.009241
25,1366.34,2.22303,1.82533,2.39727,0.60022,0.21249,0.16067,0.04832,2.90039,4.6862,3.04337,0.009208,0.009208,0.009208
26,1419.91,2.19019,1.73107,2.33744,0.00056,0.05556,0.00055,6e-05,4.44658,inf,4.66129,0.009175,0.009175,0.009175
27,1473.12,2.17408,1.75699,2.32055,0.00208,0.02778,0.00059,6e-05,4.46626,21.2123,4.51952,0.009142,0.009142,0.009142
28,1526.06,2.1539,1.75323,2.26128,7e-05,0.05556,5e-05,1e-05,4.04058,20.8555,4.17319,0.009109,0.009109,0.009109
29,1578.9,2.17164,1.62693,2.2209,7e-05,0.05556,5e-05,1e-05,3.67475,6.38101,3.71518,0.009076,0.009076,0.009076
30,1631.85,2.07649,1.59348,2.19279,0.68995,0.24771,0.27139,0.10361,2.50321,2.38729,2.61708,0.009043,0.009043,0.009043
31,1684.8,2.03452,1.54843,2.13425,0.00019,0.16667,0.00014,2e-05,3.98637,6.12933,4.05828,0.00901,0.00901,0.00901
32,1737.79,2.05181,1.56736,2.11426,0.67707,0.07989,0.05862,0.01599,3.35666,12.5938,3.68288,0.008977,0.008977,0.008977
33,1790.7,2.04472,1.58073,2.11153,0.00988,0.04762,0.03,0.00578,3.72213,5.08314,3.52845,0.008944,0.008944,0.008944
34,1843.65,1.99217,1.50076,2.06723,0.46531,0.25595,0.06611,0.01736,3.17975,22.1925,3.33082,0.008911,0.008911,0.008911
35,1896.53,2.04148,1.55269,2.05877,0.85006,0.5107,0.54359,0.20382,2.1416,1.63413,2.23019,0.008878,0.008878,0.008878
36,1949.34,2.00914,1.52269,2.08433,0.80513,0.30724,0.35643,0.11995,2.66964,3.71001,2.67787,0.008845,0.008845,0.008845
37,2002.23,2.05228,1.54517,2.13453,0.82961,0.43301,0.52722,0.23112,2.06233,1.87967,2.22114,0.008812,0.008812,0.008812
38,2055.24,1.95004,1.42549,2.0314,0.41805,0.09524,0.06437,0.01399,2.89222,4.6938,2.86339,0.008779,0.008779,0.008779
39,2108.11,2.00974,1.46761,2.04538,0.91001,0.49802,0.54572,0.25678,1.81483,1.6023,1.96607,0.008746,0.008746,0.008746
40,2161.02,1.94128,1.4242,1.99726,0.46343,0.05357,0.01757,0.00347,3.95815,9.26507,3.93167,0.008713,0.008713,0.008713
41,2214.01,1.93967,1.40369,1.97234,0.8061,0.36905,0.4149,0.14602,2.56567,1.79439,2.49159,0.00868,0.00868,0.00868
42,2267.01,1.90614,1.41237,1.94274,0.91347,0.56,0.60467,0.26195,1.90624,1.54572,1.97059,0.008647,0.008647,0.008647
43,2319.96,1.94835,1.37735,1.96006,0.33273,0.22936,0.19301,0.0452,3.30083,3.62354,3.11981,0.008614,0.008614,0.008614
44,2372.85,1.89561,1.36745,1.90959,0.79979,0.24802,0.37737,0.10655,2.74804,2.70121,2.79414,0.008581,0.008581,0.008581
45,2425.77,1.84163,1.30838,1.88829,0.80755,0.56937,0.60248,0.2984,1.74223,2.63421,1.88762,0.008548,0.008548,0.008548
46,2478.74,1.91349,1.38877,1.89943,0.68227,0.43627,0.44631,0.16496,2.39783,2.85495,2.37637,0.008515,0.008515,0.008515
47,2531.61,1.92029,1.40877,1.92865,0.01111,0.05556,0.00768,0.0031,3.40644,6.06807,3.91121,0.008482,0.008482,0.008482
48,2584.48,1.85898,1.3464,1.91198,0.69141,0.16667,0.02652,0.00778,2.71489,6.83807,2.70185,0.008449,0.008449,0.008449
49,2637.34,1.83673,1.3278,1.88829,0.69036,0.25397,0.29638,0.10412,2.623,2.72932,2.67547,0.008416,0.008416,0.008416
50,2690.26,1.84689,1.25808,1.87098,0.58038,0.0754,0.07683,0.01647,3.16341,4.89781,3.34144,0.008383,0.008383,0.008383
51,2743.2,1.83787,1.23508,1.9048,0.47994,0.0496,0.06989,0.01648,3.43715,4.03914,3.29629,0.00835,0.00835,0.00835
52,2796.15,1.82675,1.28445,1.8569,0.81825,0.09722,0.13414,0.02206,3.34187,4.06823,3.22138,0.008317,0.008317,0.008317
53,2849.17,1.81004,1.26206,1.82156,0.84566,0.53606,0.60098,0.27945,1.94103,1.52894,1.99765,0.008284,0.008284,0.008284
54,2902.08,1.8043,1.2307,1.83088,0.51044,0.27381,0.22426,0.06992,2.74014,3.36641,2.53549,0.008251,0.008251,0.008251
55,2955.05,1.80154,1.21092,1.86022,0.64917,0.36111,0.42553,0.15956,2.47876,2.08135,2.36795,0.008218,0.008218,0.008218
56,3008.05,1.80882,1.23784,1.81994,0.58559,0.60622,0.61518,0.32782,1.75783,1.30528,1.818,0.008185,0.008185,0.008185
57,3061.06,1.78743,1.23139,1.78364,0.5579,0.30291,0.33471,0.12772,2.7947,2.92689,2.42569,0.008152,0.008152,0.008152
58,3114.09,1.87288,1.33109,1.84048,0.66298,0.14176,0.11332,0.02717,3.04409,3.41273,2.87611,0.008119,0.008119,0.008119
59,3167.04,1.88404,1.30482,1.86039,0.60932,0.62883,0.60652,0.25821,2.03419,1.31528,2.02512,0.008086,0.008086,0.008086
60,3219.92,1.74823,1.18077,1.79053,0.76285,0.27773,0.30835,0.11456,2.70271,2.69764,2.62411,0.008053,0.008053,0.008053
61,3272.87,1.79134,1.2094,1.78001,0.94534,0.52991,0.57786,0.2627,2.05242,1.35051,2.05046,0.00802,0.00802,0.00802
62,3325.86,1.72238,1.144,1.75139,0.84068,0.41714,0.50467,0.23687,2.05647,1.62547,2.01235,0.007987,0.007987,0.007987
63,3378.81,1.77066,1.19582,1.78434,0.21104,0.15476,0.11752,0.02497,3.66254,3.78353,3.6257,0.007954,0.007954,0.007954
64,3431.77,1.7505,1.20996,1.78149,0.41849,0.50468,0.4949,0.14176,2.69162,1.54437,2.70315,0.007921,0.007921,0.007921
65,3484.77,1.81088,1.23304,1.7936,0.71319,0.04167,0.01735,0.00173,4.19751,3.99343,4.51473,0.007888,0.007888,0.007888
66,3537.66,1.77572,1.15531,1.75274,0.51924,0.2231,0.31112,0.11691,2.52474,3.1519,2.55648,0.007855,0.007855,0.007855
67,3590.61,1.77869,1.14765,1.77453,0.46789,0.47657,0.49638,0.14799,2.53532,1.82713,2.42724,0.007822,0.007822,0.007822
68,3643.51,1.75113,1.15078,1.74566,0.62752,0.60647,0.58931,0.2409,2.29488,1.18204,2.20937,0.007789,0.007789,0.007789
69,3696.33,1.68947,1.14296,1.68734,0.40866,0.02579,0.01105,0.00159,3.92983,3.8945,3.93696,0.007756,0.007756,0.007756
70,3749.18,1.6755,1.10259,1.69003,0.01291,0.10935,0.02156,0.00678,3.32057,5.24666,3.56193,0.007723,0.007723,0.007723
71,3802.18,1.70908,1.1367,1.70076,0.73421,0.17377,0.21035,0.08657,2.55243,3.09226,2.47062,0.00769,0.00769,0.00769
72,3855.23,1.72798,1.14357,1.69905,0.35924,0.02213,0.00401,0.0009,3.74057,4.75379,3.91959,0.007657,0.007657,0.007657
73,3908.36,1.76682,1.15371,1.72634,0.92224,0.51955,0.58289,0.27711,1.99109,1.23274,2.00487,0.007624,0.007624,0.007624
74,3961.42,1.68318,1.14172,1.64957,0.63616,0.60406,0.62174,0.28385,1.91486,1.2467,1.89761,0.007591,0.007591,0.007591
75,4014.33,1.70717,1.12207,1.68542,0.66573,0.32212,0.29551,0.05153,3.45643,2.43395,3.82151,0.007558,0.007558,0.007558
76,4067.27,1.6429,1.09781,1.64941,0.77337,0.09524,0.05409,0.00768,3.68347,3.99409,3.85624,0.007525,0.007525,0.007525
77,4120.19,1.64938,1.12792,1.64954,0.84304,0.48016,0.50462,0.17881,2.56224,1.41424,2.4899,0.007492,0.007492,0.007492
78,4173.11,1.71787,1.11498,1.67361,0.89743,0.48316,0.4873,0.20763,2.2664,1.71518,2.25449,0.007459,0.007459,0.007459
79,4226.05,1.6591,1.07116,1.6568,0.71925,0.42636,0.43491,0.12155,2.96117,1.88057,2.94026,0.007426,0.007426,0.007426
80,4279.04,1.62705,1.07268,1.62532,0.80719,0.56812,0.60168,0.27768,1.95413,1.51903,1.97914,0.007393,0.007393,0.007393
81,4332.06,1.66841,1.12296,1.66907,0.33435,0.27866,0.19691,0.04117,3.31373,2.38754,3.48108,0.00736,0.00736,0.00736
82,4385.12,1.65393,1.08441,1.64405,0.62034,0.66645,0.679,0.33517,1.7915,1.0085,1.80354,0.007327,0.007327,0.007327
83,4438.11,1.6261,1.05571,1.62009,0.82689,0.27972,0.36951,0.12833,2.5474,2.68042,2.61201,0.007294,0.007294,0.007294
84,4490.97,1.68158,1.07892,1.67641,0.11842,0.05159,0.06714,0.01012,3.28528,5.84635,3.68578,0.007261,0.007261,0.007261
85,4543.93,1.59519,1.0434,1.55858,0.67081,0.6422,0.66485,0.28426,2.04106,1.10134,1.99664,0.007228,0.007228,0.007228
86,4596.89,1.67136,1.08086,1.61547,0.50416,0.48396,0.46458,0.22591,2.0768,1.8424,2.04128,0.007195,0.007195,0.007195
87,4649.93,1.69434,1.08346,1.63769,0.54982,0.38492,0.44442,0.11494,2.81088,1.70025,2.70285,0.007162,0.007162,0.007162
88,4702.92,1.61482,1.05385,1.56908,0.85577,0.45756,0.51406,0.21643,2.26236,1.47666,2.19349,0.007129,0.007129,0.007129
89,4755.75,1.64949,1.06028,1.60256,0.85577,0.45756,0.51406,0.21643,4.28126,7.40602,4.4582,0.007096,0.007096,0.007096
90,4808.72,1.67033,1.06256,1.6294,0.73859,0.28373,0.352,0.1598,2.14186,2.57109,2.31123,0.007063,0.007063,0.007063
91,4861.68,1.68447,1.0667,1.61534,0.0021,0.02381,0.00122,0.00025,4.66419,4.14051,5.2642,0.00703,0.00703,0.00703
92,4914.63,1.69171,1.09293,1.62994,0.88651,0.53175,0.57724,0.27947,1.92093,1.14408,1.91714,0.006997,0.006997,0.006997
93,4967.58,1.64445,1.08809,1.63908,0.93767,0.49008,0.55579,0.22344,2.25039,1.59027,2.18843,0.006964,0.006964,0.006964
94,5020.78,1.63289,1.03302,1.60362,0.00021,0.0119,0.00013,1e-05,4.67969,5.99501,5.51266,0.006931,0.006931,0.006931
95,5073.96,1.60295,1.01696,1.56592,0.899,0.56944,0.58251,0.26288,2.01698,1.17629,1.97716,0.006898,0.006898,0.006898
96,5126.96,1.58399,1.00568,1.54395,0.71404,0.35119,0.30815,0.07595,3.19451,1.80736,2.98365,0.006865,0.006865,0.006865
97,5180.01,1.60587,1.03695,1.58205,0.92671,0.5593,0.60196,0.31063,1.85795,1.11099,1.85061,0.006832,0.006832,0.006832
98,5233.07,1.55744,1.00326,1.54499,0.62934,0.44507,0.55015,0.23134,1.9772,2.04458,1.95503,0.006799,0.006799,0.006799
99,5286.09,1.54266,0.95661,1.54729,0.45252,0.39292,0.38359,0.1258,2.70098,2.04451,2.48585,0.006766,0.006766,0.006766
100,5339.07,1.57248,0.97387,1.54805,0.06165,0.04806,0.03102,0.0044,3.66676,4.10392,3.39195,0.006733,0.006733,0.006733
101,5391.98,1.56466,0.99312,1.55291,0.76291,0.13492,0.18602,0.02922,3.4938,3.46587,3.30361,0.0067,0.0067,0.0067
102,5445,1.58526,0.96485,1.56365,0.97923,0.56461,0.66639,0.26683,2.13597,1.17057,2.06356,0.006667,0.006667,0.006667
103,5497.98,1.57361,0.98933,1.55097,0.91456,0.52446,0.57728,0.26808,2.1307,1.37464,2.10015,0.006634,0.006634,0.006634
104,5550.93,1.57954,0.9774,1.55356,0.53483,0.19246,0.14954,0.03859,3.34287,2.79594,3.20736,0.006601,0.006601,0.006601
105,5603.89,1.53919,0.9358,1.5291,0.7447,0.35406,0.40144,0.12675,2.64673,2.06011,2.5923,0.006568,0.006568,0.006568
106,5656.82,1.50319,0.93922,1.49187,0.21672,0.19048,0.20503,0.06899,2.8412,4.75169,3.31557,0.006535,0.006535,0.006535
107,5709.81,1.61656,0.9704,1.54699,0.87329,0.45437,0.5272,0.19052,2.41383,1.56597,2.35186,0.006502,0.006502,0.006502
108,5762.84,1.58118,0.96419,1.55984,0.68624,0.59171,0.60418,0.25926,2.14147,1.17219,2.10182,0.006469,0.006469,0.006469
109,5815.77,1.56965,0.96935,1.53028,0.96384,0.61703,0.65702,0.31656,1.95404,0.99928,1.95905,0.006436,0.006436,0.006436
