epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2123,3.52499,7.84752,4.2619,0,0,0,0,3.63276,6.01659,4.15921,0.0919,0.0009,0.0009
2,124.986,3.54819,6.99725,4.24706,0,0,0,0,3.64463,6.02735,4.15579,0.0828937,0.00189373,0.00189373
3,187.108,3.57818,6.53338,4.19228,0,0,0,0,3.68159,5.87991,4.1461,0.0738809,0.00288086,0.00288086
4,248.625,3.54507,5.95877,4.15661,0,0,0,0,3.77427,5.72738,4.12506,0.0648614,0.00386139,0.00386139
5,309.812,3.45014,5.45966,4.06354,0,0,0,0,3.9063,4.88163,4.07099,0.0558353,0.00483532,0.00483532
6,370.854,3.45488,4.86694,3.94349,0,0,0,0,3.94817,4.46536,4.00409,0.0468027,0.00580265,0.00580265
7,431.434,3.49341,4.68512,3.81075,0,0,0,0,3.95152,4.5415,3.92589,0.0377634,0.00676338,0.00676338
8,496.405,3.31708,4.20789,3.6346,0,0,0,0,3.92567,4.61099,3.84578,0.0287175,0.00771751,0.00771751
9,558.08,3.10883,3.84306,3.50454,0,0,0,0,3.86212,4.65911,3.74191,0.019665,0.00866504,0.00866504
10,618.548,2.98708,3.7215,3.33283,0,0,0,0,3.55594,4.64466,3.47217,0.010606,0.00960597,0.00960597
11,679.14,2.86981,3.4625,3.09368,0.04406,0.09524,0.04776,0.01872,3.05765,4.2618,3.06748,0.00967,0.00967,0.00967
12,739.435,2.72428,3.31237,2.92648,0.04406,0.09524,0.04776,0.01872,3.97895,inf,10.3371,0.009637,0.009637,0.009637
13,804.169,2.63311,3.15787,2.83566,0.04406,0.09524,0.04776,0.01872,3.70517,8.47803,11.2121,0.009604,0.009604,0.009604
14,866.818,2.62054,2.94823,2.81403,0.04406,0.09524,0.04776,0.01872,6.86077,6.89762,27.9054,0.009571,0.009571,0.009571
15,929.229,2.53329,2.6038,2.74067,0.04406,0.09524,0.04776,0.01872,6.85383,7.45256,36.2993,0.009538,0.009538,0.009538
16,988.896,2.59142,2.73093,2.71821,0.04406,0.09524,0.04776,0.01872,4.23436,9.96302,5.09706,0.009505,0.009505,0.009505
17,1049.01,2.49106,2.48612,2.59921,0.77579,0.05419,0.05979,0.01942,3.84206,40.0688,3.96272,0.009472,0.009472,0.009472
18,1109.07,2.41809,2.2447,2.55911,0.65582,0.1847,0.16251,0.05802,3.16871,12.2584,3.21099,0.009439,0.009439,0.009439
19,1168.64,2.3725,2.12288,2.52106,0.65582,0.1847,0.16251,0.05802,4.40854,5.83523,4.51067,0.009406,0.009406,0.009406
20,1228.16,2.29042,2.16869,2.48616,0.44327,0.02778,0.02283,0.0065,3.63178,7.46288,3.72444,0.009373,0.009373,0.009373
21,1288.02,2.31381,2.10743,2.47066,0.42317,0.06944,0.03904,0.0203,3.41117,5.70635,4.14618,0.00934,0.00934,0.00934
22,1347.71,2.30931,2.05435,2.4256,0.39739,0.05556,0.03114,0.01156,3.40721,5.00343,3.6618,0.009307,0.009307,0.009307
23,1407.63,2.2482,1.96158,2.39382,0.56027,0.01389,0.01533,0.00986,3.52345,5.17094,3.69186,0.009274,0.009274,0.009274
24,1468.4,2.21715,1.88126,2.40777,0.70555,0.02778,0.01307,0.0025,2.92974,26.5318,3.29309,0.009241,0.009241,0.009241
25,1527.22,2.19479,1.84159,2.38457,0.00038,0.02778,0.00031,4e-05,3.20965,5.78506,3.55052,0.009208,0.009208,0.009208
26,1587.72,2.18578,1.8103,2.32754,0.0087,0.04894,0.00588,0.00111,3.51619,5.62734,3.21109,0.009175,0.009175,0.009175
27,1648.99,2.18263,1.8117,2.32843,0.26812,0.09524,0.10028,0.03007,2.90893,4.96664,3.04753,0.009142,0.009142,0.009142
28,1709.92,2.1659,1.77371,2.28392,0.81371,0.40278,0.45097,0.13956,2.44592,1.88164,2.50811,0.009109,0.009109,0.009109
29,1770.88,2.14036,1.73086,2.20452,0.80019,0.19444,0.19379,0.08037,2.54525,2.9078,2.65659,0.009076,0.009076,0.009076
30,1833.54,2.079,1.68283,2.18321,0.56648,0.39827,0.25643,0.07619,2.37707,3.93527,2.61255,0.009043,0.009043,0.009043
31,1892.07,2.06387,1.59649,2.17473,0.00037,0.06944,0.00024,5e-05,2.93904,5.76154,3.08094,0.00901,0.00901,0.00901
32,1949.97,2.03537,1.6124,2.12433,0.65149,0.32937,0.29394,0.10446,2.30723,2.49741,2.41716,0.008977,0.008977,0.008977
33,2008.12,2.03657,1.59089,2.13148,0.90969,0.49206,0.54674,0.2581,1.97779,1.5815,2.1251,0.008944,0.008944,0.008944
34,2071.62,1.97451,1.53157,2.10483,0.78303,0.11121,0.10727,0.0429,3.47918,11.03,3.35412,0.008911,0.008911,0.008911
35,2135.01,2.05316,1.58443,2.11992,0.76548,0.41744,0.43444,0.15655,2.33433,1.98899,2.4644,0.008878,0.008878,0.008878
36,2197.83,2.01715,1.58424,2.1186,0.83858,0.48611,0.54574,0.25164,2.11012,1.43306,2.23905,0.008845,0.008845,0.008845
37,2261.07,2.02572,1.58196,2.12498,0.47828,0.54563,0.55635,0.24746,2.01236,1.57384,2.11737,0.008812,0.008812,0.008812
38,2324.52,1.95938,1.44544,2.06174,0.75332,0.19048,0.23412,0.09869,2.46292,2.4268,2.44605,0.008779,0.008779,0.008779
39,2388.58,2.02797,1.54607,2.12473,0.63522,0.25397,0.24191,0.06666,2.62901,3.0577,2.87682,0.008746,0.008746,0.008746
40,2452.37,1.94518,1.52674,2.05795,0.00222,0.04167,0.0022,0.00031,3.46755,5.47226,3.80332,0.008713,0.008713,0.008713
41,2525.7,1.89706,1.41524,1.99615,0.95707,0.0119,0.02113,0.00345,3.78915,6.65453,4.10555,0.00868,0.00868,0.00868
42,2595.51,1.91624,1.43291,2.01199,0.59151,0.13492,0.19448,0.0524,2.98029,3.1622,3.05956,0.008647,0.008647,0.008647
