epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6057,3.63717,6.96517,4.20557,0,0,0,0,4.00216,7.97443,4.09518,0.0703896,0.00329004,0.00329004
2,32.8145,3.61074,5.34264,4.00773,0,0,0,0,3.98742,4.80596,3.92674,0.0403678,0.00660152,0.00660152
3,46.1479,3.53315,4.69328,3.78178,6e-05,0.04167,5e-05,2e-05,4.25096,45.7591,5.62412,0.0103239,0.009891,0.009891
4,59.8336,3.31793,4.3189,3.53366,0.33335,0.01389,1e-05,1e-05,3.45233,inf,7.03067,0.009901,0.009901,0.009901
5,73.2394,3.03042,4.17504,3.22934,0.00016,0.15278,0.00015,5e-05,3.82615,inf,4.59896,0.009868,0.009868,0.009868
6,86.5806,3.01832,3.84924,3.0363,0.36269,0.02778,0.00406,0.00074,2.68047,346.087,3.11097,0.009835,0.009835,0.009835
7,99.8204,2.81624,3.44592,2.90802,0.6884,0.05556,0.01825,0.00653,2.75308,15.3946,2.69642,0.009802,0.009802,0.009802
8,113.086,2.78056,3.27112,2.91064,0.40758,0.32898,0.03563,0.01512,3.15199,175.942,3.14977,0.009769,0.009769,0.009769
9,126.266,2.75231,3.14103,2.79202,0.00027,0.25,0.00074,0.00017,4.15184,inf,5.92783,0.009736,0.009736,0.009736
10,139.509,2.67598,2.88771,2.70366,0.38459,0.09722,0.02073,0.00448,3.83541,14.0109,3.69383,0.009703,0.009703,0.009703
11,152.677,2.69742,2.77311,2.7043,0.63015,0.2257,0.27067,0.10577,2.5823,2.4593,2.41009,0.00967,0.00967,0.00967
12,166.79,2.56103,2.53999,2.59988,0.6223,0.2583,0.25407,0.09817,2.60293,2.51249,2.39454,0.009637,0.009637,0.009637
13,179.941,2.57823,2.49631,2.59472,0.66711,0.06548,0.11235,0.05121,3.24693,3.94397,3.27372,0.009604,0.009604,0.009604
